method,task,learner,dpc
random,sst2,roberta-large,1000
random,sst2,xlnet-base-cased,1
random,sst2,xlnet-base-cased,5
random,sst2,xlnet-base-cased,10
random,sst2,xlnet-base-cased,20
random,sst2,xlnet-base-cased,50
random,sst2,xlnet-base-cased,100
random,sst2,xlnet-base-cased,500
random,sst2,xlnet-base-cased,1000
k_centers,ag_news,albert-base-v2,1
k_centers,ag_news,albert-base-v2,5
k_centers,ag_news,albert-base-v2,10
k_centers,ag_news,albert-base-v2,20
k_centers,ag_news,albert-base-v2,50
k_centers,ag_news,albert-base-v2,100
k_centers,ag_news,albert-base-v2,500
k_centers,ag_news,albert-base-v2,1000
k_centers,ag_news,bert-large-uncased,1
k_centers,ag_news,bert-large-uncased,5
k_centers,ag_news,bert-large-uncased,10
k_centers,ag_news,bert-large-uncased,20
k_centers,ag_news,bert-large-uncased,50
k_centers,ag_news,bert-large-uncased,100
k_centers,ag_news,bert-large-uncased,500
k_centers,ag_news,bert-large-uncased,1000
k_centers,ag_news,microsoft/deberta-v3-base,1
k_centers,ag_news,microsoft/deberta-v3-base,5
k_centers,ag_news,microsoft/deberta-v3-base,10
k_centers,ag_news,microsoft/deberta-v3-base,20
k_centers,ag_news,microsoft/deberta-v3-base,50
k_centers,ag_news,microsoft/deberta-v3-base,100
k_centers,ag_news,microsoft/deberta-v3-base,500
k_centers,ag_news,microsoft/deberta-v3-base,1000
k_centers,ag_news,roberta-large,1
k_centers,ag_news,roberta-large,5
k_centers,ag_news,roberta-large,10
k_centers,ag_news,roberta-large,20
k_centers,ag_news,roberta-large,50
k_centers,ag_news,roberta-large,100
k_centers,ag_news,roberta-large,500
k_centers,ag_news,roberta-large,1000
k_centers,ag_news,xlnet-base-cased,1
k_centers,ag_news,xlnet-base-cased,5
k_centers,ag_news,xlnet-base-cased,10
k_centers,ag_news,xlnet-base-cased,20
k_centers,ag_news,xlnet-base-cased,50
k_centers,ag_news,xlnet-base-cased,100
k_centers,ag_news,xlnet-base-cased,500
k_centers,ag_news,xlnet-base-cased,1000
k_centers,mnli,albert-base-v2,1
k_centers,mnli,albert-base-v2,5
k_centers,mnli,albert-base-v2,10
k_centers,mnli,albert-base-v2,20
k_centers,mnli,albert-base-v2,50
k_centers,mnli,albert-base-v2,100
k_centers,mnli,albert-base-v2,500
k_centers,mnli,albert-base-v2,1000
k_centers,mnli,bert-base-uncased,1
k_centers,mnli,bert-base-uncased,5
k_centers,mnli,bert-base-uncased,10
k_centers,mnli,bert-base-uncased,20
k_centers,mnli,bert-base-uncased,50
k_centers,mnli,bert-base-uncased,100
k_centers,mnli,bert-base-uncased,500
k_centers,mnli,bert-base-uncased,1000
k_centers,mnli,bert-large-uncased,1
k_centers,mnli,bert-large-uncased,5
k_centers,mnli,bert-large-uncased,10
k_centers,mnli,bert-large-uncased,20
k_centers,mnli,bert-large-uncased,50
k_centers,mnli,bert-large-uncased,100
k_centers,mnli,bert-large-uncased,500
k_centers,mnli,bert-large-uncased,1000
k_centers,mnli,microsoft/deberta-v3-base,1
k_centers,mnli,microsoft/deberta-v3-base,5
k_centers,mnli,microsoft/deberta-v3-base,10
k_centers,mnli,microsoft/deberta-v3-base,20
k_centers,mnli,microsoft/deberta-v3-base,50
k_centers,mnli,microsoft/deberta-v3-base,100
k_centers,mnli,microsoft/deberta-v3-base,500
k_centers,mnli,microsoft/deberta-v3-base,1000
k_centers,mnli,roberta-base,1
k_centers,mnli,roberta-base,5
k_centers,mnli,roberta-base,10
k_centers,mnli,roberta-base,20
k_centers,mnli,roberta-base,50
k_centers,mnli,roberta-base,100
k_centers,mnli,roberta-base,500
k_centers,mnli,roberta-base,1000
k_centers,mnli,roberta-large,1
k_centers,mnli,roberta-large,5
k_centers,mnli,roberta-large,10
k_centers,mnli,roberta-large,20
k_centers,mnli,roberta-large,50
k_centers,mnli,roberta-large,100
k_centers,mnli,roberta-large,500
k_centers,mnli,roberta-large,1000
k_centers,mnli,xlnet-base-cased,1
k_centers,mnli,xlnet-base-cased,5
k_centers,mnli,xlnet-base-cased,10
k_centers,mnli,xlnet-base-cased,20
k_centers,mnli,xlnet-base-cased,50
k_centers,mnli,xlnet-base-cased,100
k_centers,mnli,xlnet-base-cased,500
k_centers,mnli,xlnet-base-cased,1000
k_centers,qqp,albert-base-v2,1
k_centers,qqp,albert-base-v2,5
k_centers,qqp,albert-base-v2,10
k_centers,qqp,albert-base-v2,20
k_centers,qqp,albert-base-v2,50
k_centers,qqp,albert-base-v2,100
k_centers,qqp,albert-base-v2,500
k_centers,qqp,albert-base-v2,1000
k_centers,qqp,bert-base-uncased,1
k_centers,qqp,bert-base-uncased,5
k_centers,qqp,bert-base-uncased,10
k_centers,qqp,bert-base-uncased,20
k_centers,qqp,bert-base-uncased,50
k_centers,qqp,bert-base-uncased,100
k_centers,qqp,bert-base-uncased,500
k_centers,qqp,bert-base-uncased,1000
k_centers,qqp,bert-large-uncased,1
k_centers,qqp,bert-large-uncased,5
k_centers,qqp,bert-large-uncased,10
k_centers,qqp,bert-large-uncased,20
k_centers,qqp,bert-large-uncased,50
k_centers,qqp,bert-large-uncased,100
k_centers,qqp,bert-large-uncased,500
k_centers,qqp,bert-large-uncased,1000
k_centers,qqp,microsoft/deberta-v3-base,1
k_centers,qqp,microsoft/deberta-v3-base,5
k_centers,qqp,microsoft/deberta-v3-base,10
k_centers,qqp,microsoft/deberta-v3-base,20
k_centers,qqp,microsoft/deberta-v3-base,50
k_centers,qqp,microsoft/deberta-v3-base,100
k_centers,qqp,microsoft/deberta-v3-base,500
k_centers,qqp,microsoft/deberta-v3-base,1000
k_centers,qqp,roberta-base,1
k_centers,qqp,roberta-base,5
k_centers,qqp,roberta-base,10
k_centers,qqp,roberta-base,20
k_centers,qqp,roberta-base,50
k_centers,qqp,roberta-base,100
k_centers,qqp,roberta-base,500
k_centers,qqp,roberta-base,1000
k_centers,qqp,roberta-large,1
k_centers,qqp,roberta-large,5
k_centers,qqp,roberta-large,10
k_centers,qqp,roberta-large,20
k_centers,qqp,roberta-large,50
k_centers,qqp,roberta-large,100
k_centers,qqp,roberta-large,500
k_centers,qqp,roberta-large,1000
k_centers,qqp,xlnet-base-cased,1
k_centers,qqp,xlnet-base-cased,5
k_centers,qqp,xlnet-base-cased,10
k_centers,qqp,xlnet-base-cased,20
k_centers,qqp,xlnet-base-cased,50
k_centers,qqp,xlnet-base-cased,100
k_centers,qqp,xlnet-base-cased,500
k_centers,qqp,xlnet-base-cased,1000
k_centers,sst2,albert-base-v2,1
k_centers,sst2,albert-base-v2,5
k_centers,sst2,albert-base-v2,10
k_centers,sst2,albert-base-v2,20
k_centers,sst2,albert-base-v2,50
k_centers,sst2,albert-base-v2,100
k_centers,sst2,albert-base-v2,500
k_centers,sst2,albert-base-v2,1000
k_centers,sst2,bert-large-uncased,1
k_centers,sst2,bert-large-uncased,5
k_centers,sst2,bert-large-uncased,10
k_centers,sst2,bert-large-uncased,20
k_centers,sst2,bert-large-uncased,50
k_centers,sst2,bert-large-uncased,100
k_centers,sst2,bert-large-uncased,500
k_centers,sst2,bert-large-uncased,1000
k_centers,sst2,microsoft/deberta-v3-base,1
k_centers,sst2,microsoft/deberta-v3-base,5
k_centers,sst2,microsoft/deberta-v3-base,10
k_centers,sst2,microsoft/deberta-v3-base,20
k_centers,sst2,microsoft/deberta-v3-base,50
k_centers,sst2,microsoft/deberta-v3-base,100
k_centers,sst2,microsoft/deberta-v3-base,500
