method,task,learner,dpc,k,num_synthetic_examples,metric,score,score_std,accuracy_mean,accuracy_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,n_dataset,seed,selection_time_sec,eval_time_sec,elapsed_sec_mean,runs,source_path
random,sst2,roberta-base,100,200,200,accuracy,0.8581804281345565,,0.8581804281345565,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,500,1000,1000,accuracy,0.8987003058103976,,0.8987003058103976,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,1000,2000,2000,accuracy,0.9086391437308868,,0.9086391437308868,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
random,sst2,roberta-base,1000,2000,2000,accuracy,0.9086391437308867,,0.9086391437308867,,,,,,,,,,,,scaling_laws_coreset_report/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,1,4,4,accuracy,0.4234649122807017,,0.4234649122807017,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,5,20,20,accuracy,0.791578947368421,,0.791578947368421,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,10,40,40,accuracy,0.8143859649122808,,0.8143859649122808,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,20,80,80,accuracy,0.8150877192982456,,0.8150877192982456,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,50,200,200,accuracy,0.8537280701754386,,0.8537280701754386,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,100,400,400,accuracy,0.8714473684210526,,0.8714473684210526,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,500,2000,2000,accuracy,0.8879824561403509,,0.8879824561403509,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,albert-base-v2,1000,4000,4000,accuracy,0.8944298245614034,,0.8944298245614034,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-base-uncased,1,4,4,accuracy,0.6248245614035088,,0.6248245614035088,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,ag_news,bert-base-uncased,5,20,20,accuracy,0.8156578947368421,,0.8156578947368421,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
