method,task,learner,dpc,k,n_dataset,seed,selection_time_sec,eval_time_sec,metric,accuracy_mean,accuracy_std,scores,combined_score_mean,combined_score_std,score,score_std
herding,ag_news,microsoft/deberta-v3-base,50,200,1,42,0.0,91.1,accuracy,0.8700877192982457,0.001148754460851671,"[0.8703947368421052, 0.8713157894736843, 0.8685526315789474]",,,0.8700877192982457,0.001148754460851671
herding,ag_news,microsoft/deberta-v3-base,100,400,1,42,0.0,92.0,accuracy,0.8848684210526315,0.003898824313165546,"[0.8902631578947369, 0.8831578947368421, 0.8811842105263158]",,,0.8848684210526315,0.003898824313165546
herding,ag_news,microsoft/deberta-v3-base,500,2000,1,42,0.0,98.5,accuracy,0.9029385964912281,0.0029467679003931436,"[0.9007894736842105, 0.9071052631578947, 0.900921052631579]",,,0.9029385964912281,0.0029467679003931436
herding,ag_news,microsoft/deberta-v3-base,1000,4000,1,42,0.0,95.3,accuracy,0.9147368421052633,0.0003721614637824103,"[0.9144736842105263, 0.9152631578947369, 0.9144736842105263]",,,0.9147368421052633,0.0003721614637824103
herding,ag_news,roberta-base,1,4,1,42,0.0,39.5,accuracy,0.6060526315789474,0.051074669687199266,"[0.5568421052631579, 0.5848684210526316, 0.6764473684210527]",,,0.6060526315789474,0.051074669687199266
herding,ag_news,roberta-base,5,20,1,42,0.0,42.1,accuracy,0.8369298245614035,0.006476690691592292,"[0.8459210526315789, 0.8339473684210527, 0.8309210526315789]",,,0.8369298245614035,0.006476690691592292
herding,ag_news,roberta-base,10,40,1,42,0.0,44.7,accuracy,0.837719298245614,0.006554633433849631,"[0.8469736842105263, 0.8335526315789473, 0.8326315789473684]",,,0.837719298245614,0.006554633433849631
herding,ag_news,roberta-base,20,80,1,42,0.0,50.9,accuracy,0.8643421052631579,0.003446263382554931,"[0.8617105263157895, 0.8692105263157894, 0.8621052631578947]",,,0.8643421052631579,0.003446263382554931
herding,ag_news,roberta-base,50,200,1,42,0.0,50.1,accuracy,0.8866228070175439,0.002654143029896015,"[0.8896052631578948, 0.8871052631578947, 0.8831578947368421]",,,0.8866228070175439,0.002654143029896015
herding,ag_news,roberta-base,100,400,1,42,0.0,49.6,accuracy,0.8939035087719298,0.0013603563525676347,"[0.8932894736842105, 0.8957894736842106, 0.8926315789473684]",,,0.8939035087719298,0.0013603563525676347
herding,ag_news,roberta-base,500,2000,1,42,0.0,51.9,accuracy,0.9107894736842105,0.0034126076603380262,"[0.9118421052631579, 0.9061842105263158, 0.9143421052631578]",,,0.9107894736842105,0.0034126076603380262
herding,ag_news,roberta-base,1000,4000,1,42,0.0,52.6,accuracy,0.9189035087719298,0.002748149157512386,"[0.9153947368421053, 0.9192105263157895, 0.9221052631578948]",,,0.9189035087719298,0.002748149157512386
herding,ag_news,roberta-large,1,4,1,42,0.0,80.1,accuracy,0.6121491228070175,0.04633825378923065,"[0.6260526315789474, 0.6606578947368421, 0.5497368421052632]",,,0.6121491228070175,0.04633825378923065
herding,ag_news,roberta-large,5,20,1,42,0.0,79.4,accuracy,0.8526315789473684,0.02232529382178418,"[0.8211842105263157, 0.8659210526315789, 0.8707894736842106]",,,0.8526315789473684,0.02232529382178418
herding,ag_news,roberta-large,10,40,1,42,0.0,101.1,accuracy,0.8714912280701754,0.009331494674452823,"[0.8764473684210526, 0.8796052631578948, 0.858421052631579]",,,0.8714912280701754,0.009331494674452823
herding,ag_news,roberta-large,20,80,1,42,0.0,126.0,accuracy,0.874298245614035,0.006781388267827402,"[0.8805263157894737, 0.8775, 0.8648684210526316]",,,0.874298245614035,0.006781388267827402
herding,ag_news,roberta-large,50,200,1,42,0.0,117.6,accuracy,0.8864473684210527,0.0021459876881973847,"[0.8847368421052632, 0.8851315789473684, 0.8894736842105263]",,,0.8864473684210527,0.0021459876881973847
herding,ag_news,roberta-large,100,400,1,42,0.0,118.2,accuracy,0.8882456140350877,0.004305847198692913,"[0.8903947368421052, 0.8921052631578947, 0.8822368421052632]",,,0.8882456140350877,0.004305847198692913
herding,ag_news,roberta-large,500,2000,1,42,0.0,123.7,accuracy,0.9113157894736842,0.003278050340535914,"[0.9125, 0.9146052631578947, 0.9068421052631579]",,,0.9113157894736842,0.003278050340535914
herding,ag_news,roberta-large,1000,4000,1,42,0.0,121.9,accuracy,0.9175877192982457,0.003774478942798287,"[0.916578947368421, 0.9226315789473685, 0.9135526315789474]",,,0.9175877192982457,0.003774478942798287
herding,ag_news,xlnet-base-cased,1,4,1,42,0.0,103.6,accuracy,0.6369736842105262,0.008282160516766415,"[0.6477631578947368, 0.6355263157894737, 0.6276315789473684]",,,0.6369736842105262,0.008282160516766415
herding,ag_news,xlnet-base-cased,5,20,1,42,0.0,109.3,accuracy,0.8367982456140352,0.01213874723208369,"[0.8436842105263158, 0.8469736842105263, 0.8197368421052632]",,,0.8367982456140352,0.01213874723208369
herding,ag_news,xlnet-base-cased,10,40,1,42,0.0,119.3,accuracy,0.8622368421052631,0.005529447734065949,"[0.8611842105263158, 0.8560526315789474, 0.8694736842105263]",,,0.8622368421052631,0.005529447734065949
herding,ag_news,xlnet-base-cased,20,80,1,42,0.0,135.6,accuracy,0.8672368421052631,0.002793277776858032,"[0.8690789473684211, 0.8632894736842105, 0.8693421052631579]",,,0.8672368421052631,0.002793277776858032
herding,ag_news,xlnet-base-cased,50,200,1,42,0.0,134.8,accuracy,0.8841228070175439,0.009957396164712973,"[0.8897368421052632, 0.8701315789473684, 0.8925]",,,0.8841228070175439,0.009957396164712973
herding,ag_news,xlnet-base-cased,100,400,1,42,0.0,141.1,accuracy,0.8895175438596491,0.004061697158873758,"[0.8877631578947368, 0.8951315789473684, 0.8856578947368421]",,,0.8895175438596491,0.004061697158873758
herding,ag_news,xlnet-base-cased,500,2000,1,42,0.0,149.8,accuracy,0.904780701754386,0.003301440222203336,"[0.9090789473684211, 0.9010526315789473, 0.9042105263157895]",,,0.904780701754386,0.003301440222203336
herding,ag_news,xlnet-base-cased,1000,4000,1,42,0.0,144.1,accuracy,0.9133333333333332,0.000938637480659302,"[0.9146052631578947, 0.9123684210526316, 0.9130263157894737]",,,0.9133333333333332,0.000938637480659302
herding,mnli,albert-base-v2,1,3,1,42,653.2,45.9,accuracy,0.37744948208524365,0.008126272063226301,"[0.3866530820173204, 0.37880794701986753, 0.36688741721854307]",,,0.37744948208524365,0.008126272063226301
herding,mnli,albert-base-v2,5,15,1,42,621.9,48.6,accuracy,0.4050942435048395,0.003542117540508033,"[0.408762098828324, 0.4003056546102904, 0.4062149770759042]",,,0.4050942435048395,0.003542117540508033
herding,mnli,albert-base-v2,10,30,1,42,565.6,48.5,accuracy,0.41507896077432505,0.012566443146043814,"[0.400509424350484, 0.4311767702496179, 0.4135506877228732]",,,0.41507896077432505,0.012566443146043814
herding,mnli,albert-base-v2,20,60,1,42,577.0,57.4,accuracy,0.4765494990660553,0.035135790185467544,"[0.4274070300560367, 0.4947529291900153, 0.5074885379521141]",,,0.4765494990660553,0.035135790185467544
herding,mnli,albert-base-v2,50,150,1,42,746.4,59.6,accuracy,0.5106469689251146,0.01613001929875767,"[0.5324503311258278, 0.5055527254202751, 0.49393785022924097]",,,0.5106469689251146,0.01613001929875767
herding,mnli,albert-base-v2,100,300,1,42,918.3,66.3,accuracy,0.5564611988453048,0.008003566530679965,"[0.5453897096281203, 0.5640346408558329, 0.5599592460519612]",,,0.5564611988453048,0.008003566530679965
herding,mnli,albert-base-v2,500,1500,1,42,2680.1,70.2,accuracy,0.646255731023943,0.05147300541103976,"[0.6919001528273051, 0.6725420275089149, 0.5743250127356088]",,,0.646255731023943,0.05147300541103976
herding,mnli,albert-base-v2,1000,3000,1,42,4858.8,69.7,accuracy,0.7169638308711157,0.0030497462143852746,"[0.7128884360672441, 0.71777890983189, 0.720224146714213]",,,0.7169638308711157,0.0030497462143852746
herding,mnli,bert-base-uncased,1,3,1,42,668.3,45.9,accuracy,0.330412633723892,0.021423459336196122,"[0.3594498217014773, 0.3084055017829852, 0.32338257768721346]",,,0.330412633723892,0.021423459336196122
herding,mnli,bert-base-uncased,5,15,1,42,621.9,41.4,accuracy,0.39836984207845133,0.008800321013507605,"[0.40601120733571067, 0.4030565461029037, 0.3860417727967397]",,,0.39836984207845133,0.008800321013507605
herding,mnli,bert-base-uncased,10,30,1,42,572.8,48.1,accuracy,0.42139582272032605,0.012350362753080504,"[0.40519612837493635, 0.43515028018339275, 0.423841059602649]",,,0.42139582272032605,0.012350362753080504
herding,mnli,bert-base-uncased,20,60,1,42,577.4,53.6,accuracy,0.4240787909662082,0.04134813348776151,"[0.3738155883851248, 0.42333163525216505, 0.47508914926133466]",,,0.4240787909662082,0.04134813348776151
herding,mnli,bert-base-uncased,50,150,1,42,750.4,52.6,accuracy,0.506911190354899,0.005379246696749422,"[0.512888436067244, 0.5079979623025981, 0.4998471726948548]",,,0.506911190354899,0.005379246696749422
herding,mnli,bert-base-uncased,100,300,1,42,925.3,54.4,accuracy,0.47692307692307695,0.030593409987389814,"[0.5194090677534386, 0.44859908303616913, 0.462761079979623]",,,0.47692307692307695,0.030593409987389814
herding,mnli,bert-base-uncased,500,1500,1,42,2692.1,55.1,accuracy,0.6187807777211751,0.014480640428774139,"[0.6075394803871625, 0.6095771777890984, 0.6392256749872643]",,,0.6187807777211751,0.014480640428774139
herding,mnli,bert-base-uncased,1000,3000,1,42,4874.0,56.7,accuracy,0.6870096790626592,0.004999630828888538,"[0.6847682119205298, 0.6939378502292409, 0.6823229750382068]",,,0.6870096790626592,0.004999630828888538
herding,mnli,bert-large-uncased,1,3,1,42,0.0,84.3,accuracy,0.3508575309899813,0.006100248767347318,"[0.34793683138054, 0.35934793683138055, 0.34528782475802344]",,,0.3508575309899813,0.006100248767347318
herding,mnli,bert-large-uncased,5,15,1,42,0.0,81.9,accuracy,0.3815248768891153,0.05247729118604046,"[0.4544065206316862, 0.35720835455934796, 0.3329597554763118]",,,0.3815248768891153,0.05247729118604046
