dpc;num_synthetic_examples;accuracy_mean;accuracy_std;macro_f1_mean;macro_f1_std;elapsed_sec_mean;runs
1;4;0.6271754374106725;0.0166969809908935;0.2647633344016154;0.09654486384392962;1099.85576;5
2;8;0.6972105304400126;0.013758190226892316;0.23750171564333286;0.027214048494071576;1090.20666;5
3;12;0.67742982308069863;0.005092794008331069;0.20225021334455137;0.01966287898713906;1103.50428;5
5;20;0.69026315609614056;0.015164830332462226;0.20932999755145057;0.03716529381943075;1110.03871;5
10;40;0.69318421483039856;0.01393721798746998;0.3349385759212123;0.06684440486090185;1386.15;5
20;80;0.61113157669703165;0.10437040146082284;0.36166641205774036;0.11054696608501141;2031.53941;5
